"";"plot_ID";"inv_year";"e_ID";"e_form";"geometry"
"71";50102;2012;1;2;"2517016.1865509, 2517016.11327061, 2517015.99136, 2517015.8211532, 2517015.60311674, 2517015.33784825, 2517015.02607481, 2517014.66865096, 2517014.26655639, 2517013.8208932, 2517013.33288293, 2517012.80386318, 2517012.23528395, 2517011.62870369, 2517010.98578498, 2517010.30829002, 2517009.59807578, 2517008.8570889, 2517008.08736038, 2517007.291, 2517006.47019052, 2517005.62718171, 2517004.76428422, 2517003.88386318, 2517002.98833176, 2517002.08014456, 2517001.16179086, 2517000.23578778, 2516999.30467346, 2516998.371, 2516997.43732654, 2516996.50621221, 2516995.58020914, 2516994.66185544, 2516993.75366824, 2516992.85813682, 2516991.97771578, 2516991.11481829, 2516990.27180948, 2516989.451, 2516988.65463962, 2516987.8849111, 2516987.14392422, 2516986.43370998, 2516985.75621502, 2516985.11329631, 2516984.50671605, 2516983.93813682, 2516983.40911707, 2516982.9211068, 2516982.47544361, 2516982.07334904, 2516981.71592519, 2516981.47128057, 2517015.65255975, 2517015.8211532, 2517015.99136, 2517016.11327061, 2517016.1865509, 2517016.211, 2517016.1865509, 5679016.12032654, 5679015.18921222, 5679014.26320914, 5679013.34485544, 5679012.43666823, 5679011.54113682, 5679010.66071578, 5679009.79781829, 5679008.95480948, 5679008.134, 5679007.33763961, 5679006.5679111, 5679005.82692422, 5679005.11670998, 5679004.43921502, 5679003.79629631, 5679003.18971605, 5679002.62113682, 5679002.09211707, 5679001.6041068, 5679001.15844361, 5679000.75634904, 5679000.39892519, 5679000.08715175, 5678999.82188326, 5678999.6038468, 5678999.43364, 5678999.31172939, 5678999.2384491, 5678999.214, 5678999.2384491, 5678999.31172939, 5678999.43364, 5678999.6038468, 5678999.82188326, 5679000.08715175, 5679000.39892519, 5679000.75634904, 5679001.15844361, 5679001.6041068, 5679002.09211707, 5679002.62113682, 5679003.18971605, 5679003.79629631, 5679004.43921502, 5679005.11670998, 5679005.82692422, 5679006.5679111, 5679007.33763961, 5679008.134, 5679008.95480948, 5679009.79781829, 5679010.66071578, 5679011.35157088, 5679021.46538681, 5679020.76314456, 5679019.84479086, 5679018.91878778, 5679017.98767346, 5679017.054, 5679016.12032654"
"72";50102;2012;2;1;"2517016.1865509, 2517016.11327061, 2517015.99136, 2517015.8211532, 2517015.60311674, 2517015.33784825, 2517015.02607481, 2517014.66865096, 2517014.26655639, 2517013.8208932, 2517013.33288293, 2517012.80386318, 2517012.23528395, 2517011.62870369, 2517010.98578498, 2517010.30829002, 2517009.59807578, 2517008.8570889, 2517008.08736038, 2517007.291, 2517006.47019052, 2517005.62718171, 2517004.76428422, 2517003.88386318, 2517002.98833176, 2517002.08014456, 2517001.16179086, 2517000.23578778, 2516999.30467346, 2516998.371, 2516997.43732654, 2516996.50621221, 2516995.58020914, 2516994.66185544, 2516993.75366824, 2516992.85813682, 2516991.97771578, 2516991.11481829, 2516990.27180948, 2516989.451, 2516988.65463962, 2516987.8849111, 2516987.14392422, 2516986.43370998, 2516985.75621502, 2516985.11329631, 2516984.50671605, 2516983.93813682, 2516983.40911707, 2516982.9211068, 2516982.47544361, 2516982.07334904, 2516981.71592519, 2516981.47128057, 2517015.65255975, 2517015.8211532, 2517015.99136, 2517016.11327061, 2517016.1865509, 2517016.211, 2517016.1865509, 5679016.12032654, 5679015.18921222, 5679014.26320914, 5679013.34485544, 5679012.43666823, 5679011.54113682, 5679010.66071578, 5679009.79781829, 5679008.95480948, 5679008.134, 5679007.33763961, 5679006.5679111, 5679005.82692422, 5679005.11670998, 5679004.43921502, 5679003.79629631, 5679003.18971605, 5679002.62113682, 5679002.09211707, 5679001.6041068, 5679001.15844361, 5679000.75634904, 5679000.39892519, 5679000.08715175, 5678999.82188326, 5678999.6038468, 5678999.43364, 5678999.31172939, 5678999.2384491, 5678999.214, 5678999.2384491, 5678999.31172939, 5678999.43364, 5678999.6038468, 5678999.82188326, 5679000.08715175, 5679000.39892519, 5679000.75634904, 5679001.15844361, 5679001.6041068, 5679002.09211707, 5679002.62113682, 5679003.18971605, 5679003.79629631, 5679004.43921502, 5679005.11670998, 5679005.82692422, 5679006.5679111, 5679007.33763961, 5679008.134, 5679008.95480948, 5679009.79781829, 5679010.66071578, 5679011.35157088, 5679021.46538681, 5679020.76314456, 5679019.84479086, 5679018.91878778, 5679017.98767346, 5679017.054, 5679016.12032654"
"73";50110;2012;1;1;"2517016.1865509, 2517016.11327061, 2517015.99136, 2517015.8211532, 2517015.60311674, 2517015.33784825, 2517015.02607481, 2517014.66865096, 2517014.26655639, 2517013.8208932, 2517013.33288293, 2517012.80386318, 2517012.23528395, 2517011.62870369, 2517010.98578498, 2517010.30829002, 2517009.59807578, 2517008.8570889, 2517008.08736038, 2517007.291, 2517006.47019052, 2517005.62718171, 2517004.76428422, 2517003.88386318, 2517002.98833176, 2517002.08014456, 2517001.16179086, 2517000.23578778, 2516999.30467346, 2516998.371, 2516997.43732654, 2516996.50621221, 2516995.58020914, 2516994.66185544, 2516993.75366824, 2516992.85813682, 2516991.97771578, 2516991.11481829, 2516990.27180948, 2516989.451, 2516988.65463962, 2516987.8849111, 2516987.14392422, 2516986.43370998, 2516985.75621502, 2516985.11329631, 2516984.50671605, 2516983.93813682, 2516983.40911707, 2516982.9211068, 2516982.47544361, 2516982.07334904, 2516981.71592519, 2516981.47128057, 2517015.65255975, 2517015.8211532, 2517015.99136, 2517016.11327061, 2517016.1865509, 2517016.211, 2517016.1865509, 5679016.12032654, 5679015.18921222, 5679014.26320914, 5679013.34485544, 5679012.43666823, 5679011.54113682, 5679010.66071578, 5679009.79781829, 5679008.95480948, 5679008.134, 5679007.33763961, 5679006.5679111, 5679005.82692422, 5679005.11670998, 5679004.43921502, 5679003.79629631, 5679003.18971605, 5679002.62113682, 5679002.09211707, 5679001.6041068, 5679001.15844361, 5679000.75634904, 5679000.39892519, 5679000.08715175, 5678999.82188326, 5678999.6038468, 5678999.43364, 5678999.31172939, 5678999.2384491, 5678999.214, 5678999.2384491, 5678999.31172939, 5678999.43364, 5678999.6038468, 5678999.82188326, 5679000.08715175, 5679000.39892519, 5679000.75634904, 5679001.15844361, 5679001.6041068, 5679002.09211707, 5679002.62113682, 5679003.18971605, 5679003.79629631, 5679004.43921502, 5679005.11670998, 5679005.82692422, 5679006.5679111, 5679007.33763961, 5679008.134, 5679008.95480948, 5679009.79781829, 5679010.66071578, 5679011.35157088, 5679021.46538681, 5679020.76314456, 5679019.84479086, 5679018.91878778, 5679017.98767346, 5679017.054, 5679016.12032654"
"74";50110;2012;2;1;"2517016.1865509, 2517016.11327061, 2517015.99136, 2517015.8211532, 2517015.60311674, 2517015.33784825, 2517015.02607481, 2517014.66865096, 2517014.26655639, 2517013.8208932, 2517013.33288293, 2517012.80386318, 2517012.23528395, 2517011.62870369, 2517010.98578498, 2517010.30829002, 2517009.59807578, 2517008.8570889, 2517008.08736038, 2517007.291, 2517006.47019052, 2517005.62718171, 2517004.76428422, 2517003.88386318, 2517002.98833176, 2517002.08014456, 2517001.16179086, 2517000.23578778, 2516999.30467346, 2516998.371, 2516997.43732654, 2516996.50621221, 2516995.58020914, 2516994.66185544, 2516993.75366824, 2516992.85813682, 2516991.97771578, 2516991.11481829, 2516990.27180948, 2516989.451, 2516988.65463962, 2516987.8849111, 2516987.14392422, 2516986.43370998, 2516985.75621502, 2516985.11329631, 2516984.50671605, 2516983.93813682, 2516983.40911707, 2516982.9211068, 2516982.47544361, 2516982.07334904, 2516981.71592519, 2516981.47128057, 2517015.65255975, 2517015.8211532, 2517015.99136, 2517016.11327061, 2517016.1865509, 2517016.211, 2517016.1865509, 5679016.12032654, 5679015.18921222, 5679014.26320914, 5679013.34485544, 5679012.43666823, 5679011.54113682, 5679010.66071578, 5679009.79781829, 5679008.95480948, 5679008.134, 5679007.33763961, 5679006.5679111, 5679005.82692422, 5679005.11670998, 5679004.43921502, 5679003.79629631, 5679003.18971605, 5679002.62113682, 5679002.09211707, 5679001.6041068, 5679001.15844361, 5679000.75634904, 5679000.39892519, 5679000.08715175, 5678999.82188326, 5678999.6038468, 5678999.43364, 5678999.31172939, 5678999.2384491, 5678999.214, 5678999.2384491, 5678999.31172939, 5678999.43364, 5678999.6038468, 5678999.82188326, 5679000.08715175, 5679000.39892519, 5679000.75634904, 5679001.15844361, 5679001.6041068, 5679002.09211707, 5679002.62113682, 5679003.18971605, 5679003.79629631, 5679004.43921502, 5679005.11670998, 5679005.82692422, 5679006.5679111, 5679007.33763961, 5679008.134, 5679008.95480948, 5679009.79781829, 5679010.66071578, 5679011.35157088, 5679021.46538681, 5679020.76314456, 5679019.84479086, 5679018.91878778, 5679017.98767346, 5679017.054, 5679016.12032654"
"75";50117;2012;1;1;"2517016.1865509, 2517016.11327061, 2517015.99136, 2517015.8211532, 2517015.60311674, 2517015.33784825, 2517015.02607481, 2517014.66865096, 2517014.26655639, 2517013.8208932, 2517013.33288293, 2517012.80386318, 2517012.23528395, 2517011.62870369, 2517010.98578498, 2517010.30829002, 2517009.59807578, 2517008.8570889, 2517008.08736038, 2517007.291, 2517006.47019052, 2517005.62718171, 2517004.76428422, 2517003.88386318, 2517002.98833176, 2517002.08014456, 2517001.16179086, 2517000.23578778, 2516999.30467346, 2516998.371, 2516997.43732654, 2516996.50621221, 2516995.58020914, 2516994.66185544, 2516993.75366824, 2516992.85813682, 2516991.97771578, 2516991.11481829, 2516990.27180948, 2516989.451, 2516988.65463962, 2516987.8849111, 2516987.14392422, 2516986.43370998, 2516985.75621502, 2516985.11329631, 2516984.50671605, 2516983.93813682, 2516983.40911707, 2516982.9211068, 2516982.47544361, 2516982.07334904, 2516981.71592519, 2516981.47128057, 2517015.65255975, 2517015.8211532, 2517015.99136, 2517016.11327061, 2517016.1865509, 2517016.211, 2517016.1865509, 5679016.12032654, 5679015.18921222, 5679014.26320914, 5679013.34485544, 5679012.43666823, 5679011.54113682, 5679010.66071578, 5679009.79781829, 5679008.95480948, 5679008.134, 5679007.33763961, 5679006.5679111, 5679005.82692422, 5679005.11670998, 5679004.43921502, 5679003.79629631, 5679003.18971605, 5679002.62113682, 5679002.09211707, 5679001.6041068, 5679001.15844361, 5679000.75634904, 5679000.39892519, 5679000.08715175, 5678999.82188326, 5678999.6038468, 5678999.43364, 5678999.31172939, 5678999.2384491, 5678999.214, 5678999.2384491, 5678999.31172939, 5678999.43364, 5678999.6038468, 5678999.82188326, 5679000.08715175, 5679000.39892519, 5679000.75634904, 5679001.15844361, 5679001.6041068, 5679002.09211707, 5679002.62113682, 5679003.18971605, 5679003.79629631, 5679004.43921502, 5679005.11670998, 5679005.82692422, 5679006.5679111, 5679007.33763961, 5679008.134, 5679008.95480948, 5679009.79781829, 5679010.66071578, 5679011.35157088, 5679021.46538681, 5679020.76314456, 5679019.84479086, 5679018.91878778, 5679017.98767346, 5679017.054, 5679016.12032654"
"76";50117;2012;2;1;"2517016.1865509, 2517016.11327061, 2517015.99136, 2517015.8211532, 2517015.60311674, 2517015.33784825, 2517015.02607481, 2517014.66865096, 2517014.26655639, 2517013.8208932, 2517013.33288293, 2517012.80386318, 2517012.23528395, 2517011.62870369, 2517010.98578498, 2517010.30829002, 2517009.59807578, 2517008.8570889, 2517008.08736038, 2517007.291, 2517006.47019052, 2517005.62718171, 2517004.76428422, 2517003.88386318, 2517002.98833176, 2517002.08014456, 2517001.16179086, 2517000.23578778, 2516999.30467346, 2516998.371, 2516997.43732654, 2516996.50621221, 2516995.58020914, 2516994.66185544, 2516993.75366824, 2516992.85813682, 2516991.97771578, 2516991.11481829, 2516990.27180948, 2516989.451, 2516988.65463962, 2516987.8849111, 2516987.14392422, 2516986.43370998, 2516985.75621502, 2516985.11329631, 2516984.50671605, 2516983.93813682, 2516983.40911707, 2516982.9211068, 2516982.47544361, 2516982.07334904, 2516981.71592519, 2516981.47128057, 2517015.65255975, 2517015.8211532, 2517015.99136, 2517016.11327061, 2517016.1865509, 2517016.211, 2517016.1865509, 5679016.12032654, 5679015.18921222, 5679014.26320914, 5679013.34485544, 5679012.43666823, 5679011.54113682, 5679010.66071578, 5679009.79781829, 5679008.95480948, 5679008.134, 5679007.33763961, 5679006.5679111, 5679005.82692422, 5679005.11670998, 5679004.43921502, 5679003.79629631, 5679003.18971605, 5679002.62113682, 5679002.09211707, 5679001.6041068, 5679001.15844361, 5679000.75634904, 5679000.39892519, 5679000.08715175, 5678999.82188326, 5678999.6038468, 5678999.43364, 5678999.31172939, 5678999.2384491, 5678999.214, 5678999.2384491, 5678999.31172939, 5678999.43364, 5678999.6038468, 5678999.82188326, 5679000.08715175, 5679000.39892519, 5679000.75634904, 5679001.15844361, 5679001.6041068, 5679002.09211707, 5679002.62113682, 5679003.18971605, 5679003.79629631, 5679004.43921502, 5679005.11670998, 5679005.82692422, 5679006.5679111, 5679007.33763961, 5679008.134, 5679008.95480948, 5679009.79781829, 5679010.66071578, 5679011.35157088, 5679021.46538681, 5679020.76314456, 5679019.84479086, 5679018.91878778, 5679017.98767346, 5679017.054, 5679016.12032654"
"77";50122;2012;1;2;"2517016.1865509, 2517016.11327061, 2517015.99136, 2517015.8211532, 2517015.60311674, 2517015.33784825, 2517015.02607481, 2517014.66865096, 2517014.26655639, 2517013.8208932, 2517013.33288293, 2517012.80386318, 2517012.23528395, 2517011.62870369, 2517010.98578498, 2517010.30829002, 2517009.59807578, 2517008.8570889, 2517008.08736038, 2517007.291, 2517006.47019052, 2517005.62718171, 2517004.76428422, 2517003.88386318, 2517002.98833176, 2517002.08014456, 2517001.16179086, 2517000.23578778, 2516999.30467346, 2516998.371, 2516997.43732654, 2516996.50621221, 2516995.58020914, 2516994.66185544, 2516993.75366824, 2516992.85813682, 2516991.97771578, 2516991.11481829, 2516990.27180948, 2516989.451, 2516988.65463962, 2516987.8849111, 2516987.14392422, 2516986.43370998, 2516985.75621502, 2516985.11329631, 2516984.50671605, 2516983.93813682, 2516983.40911707, 2516982.9211068, 2516982.47544361, 2516982.07334904, 2516981.71592519, 2516981.47128057, 2517015.65255975, 2517015.8211532, 2517015.99136, 2517016.11327061, 2517016.1865509, 2517016.211, 2517016.1865509, 5679016.12032654, 5679015.18921222, 5679014.26320914, 5679013.34485544, 5679012.43666823, 5679011.54113682, 5679010.66071578, 5679009.79781829, 5679008.95480948, 5679008.134, 5679007.33763961, 5679006.5679111, 5679005.82692422, 5679005.11670998, 5679004.43921502, 5679003.79629631, 5679003.18971605, 5679002.62113682, 5679002.09211707, 5679001.6041068, 5679001.15844361, 5679000.75634904, 5679000.39892519, 5679000.08715175, 5678999.82188326, 5678999.6038468, 5678999.43364, 5678999.31172939, 5678999.2384491, 5678999.214, 5678999.2384491, 5678999.31172939, 5678999.43364, 5678999.6038468, 5678999.82188326, 5679000.08715175, 5679000.39892519, 5679000.75634904, 5679001.15844361, 5679001.6041068, 5679002.09211707, 5679002.62113682, 5679003.18971605, 5679003.79629631, 5679004.43921502, 5679005.11670998, 5679005.82692422, 5679006.5679111, 5679007.33763961, 5679008.134, 5679008.95480948, 5679009.79781829, 5679010.66071578, 5679011.35157088, 5679021.46538681, 5679020.76314456, 5679019.84479086, 5679018.91878778, 5679017.98767346, 5679017.054, 5679016.12032654"
"78";50122;2012;2;1;"2517016.1865509, 2517016.11327061, 2517015.99136, 2517015.8211532, 2517015.60311674, 2517015.33784825, 2517015.02607481, 2517014.66865096, 2517014.26655639, 2517013.8208932, 2517013.33288293, 2517012.80386318, 2517012.23528395, 2517011.62870369, 2517010.98578498, 2517010.30829002, 2517009.59807578, 2517008.8570889, 2517008.08736038, 2517007.291, 2517006.47019052, 2517005.62718171, 2517004.76428422, 2517003.88386318, 2517002.98833176, 2517002.08014456, 2517001.16179086, 2517000.23578778, 2516999.30467346, 2516998.371, 2516997.43732654, 2516996.50621221, 2516995.58020914, 2516994.66185544, 2516993.75366824, 2516992.85813682, 2516991.97771578, 2516991.11481829, 2516990.27180948, 2516989.451, 2516988.65463962, 2516987.8849111, 2516987.14392422, 2516986.43370998, 2516985.75621502, 2516985.11329631, 2516984.50671605, 2516983.93813682, 2516983.40911707, 2516982.9211068, 2516982.47544361, 2516982.07334904, 2516981.71592519, 2516981.47128057, 2517015.65255975, 2517015.8211532, 2517015.99136, 2517016.11327061, 2517016.1865509, 2517016.211, 2517016.1865509, 5679016.12032654, 5679015.18921222, 5679014.26320914, 5679013.34485544, 5679012.43666823, 5679011.54113682, 5679010.66071578, 5679009.79781829, 5679008.95480948, 5679008.134, 5679007.33763961, 5679006.5679111, 5679005.82692422, 5679005.11670998, 5679004.43921502, 5679003.79629631, 5679003.18971605, 5679002.62113682, 5679002.09211707, 5679001.6041068, 5679001.15844361, 5679000.75634904, 5679000.39892519, 5679000.08715175, 5678999.82188326, 5678999.6038468, 5678999.43364, 5678999.31172939, 5678999.2384491, 5678999.214, 5678999.2384491, 5678999.31172939, 5678999.43364, 5678999.6038468, 5678999.82188326, 5679000.08715175, 5679000.39892519, 5679000.75634904, 5679001.15844361, 5679001.6041068, 5679002.09211707, 5679002.62113682, 5679003.18971605, 5679003.79629631, 5679004.43921502, 5679005.11670998, 5679005.82692422, 5679006.5679111, 5679007.33763961, 5679008.134, 5679008.95480948, 5679009.79781829, 5679010.66071578, 5679011.35157088, 5679021.46538681, 5679020.76314456, 5679019.84479086, 5679018.91878778, 5679017.98767346, 5679017.054, 5679016.12032654"
"79";50145;2012;1;1;"2517016.1865509, 2517016.11327061, 2517015.99136, 2517015.8211532, 2517015.60311674, 2517015.33784825, 2517015.02607481, 2517014.66865096, 2517014.26655639, 2517013.8208932, 2517013.33288293, 2517012.80386318, 2517012.23528395, 2517011.62870369, 2517010.98578498, 2517010.30829002, 2517009.59807578, 2517008.8570889, 2517008.08736038, 2517007.291, 2517006.47019052, 2517005.62718171, 2517004.76428422, 2517003.88386318, 2517002.98833176, 2517002.08014456, 2517001.16179086, 2517000.23578778, 2516999.30467346, 2516998.371, 2516997.43732654, 2516996.50621221, 2516995.58020914, 2516994.66185544, 2516993.75366824, 2516992.85813682, 2516991.97771578, 2516991.11481829, 2516990.27180948, 2516989.451, 2516988.65463962, 2516987.8849111, 2516987.14392422, 2516986.43370998, 2516985.75621502, 2516985.11329631, 2516984.50671605, 2516983.93813682, 2516983.40911707, 2516982.9211068, 2516982.47544361, 2516982.07334904, 2516981.71592519, 2516981.47128057, 2517015.65255975, 2517015.8211532, 2517015.99136, 2517016.11327061, 2517016.1865509, 2517016.211, 2517016.1865509, 5679016.12032654, 5679015.18921222, 5679014.26320914, 5679013.34485544, 5679012.43666823, 5679011.54113682, 5679010.66071578, 5679009.79781829, 5679008.95480948, 5679008.134, 5679007.33763961, 5679006.5679111, 5679005.82692422, 5679005.11670998, 5679004.43921502, 5679003.79629631, 5679003.18971605, 5679002.62113682, 5679002.09211707, 5679001.6041068, 5679001.15844361, 5679000.75634904, 5679000.39892519, 5679000.08715175, 5678999.82188326, 5678999.6038468, 5678999.43364, 5678999.31172939, 5678999.2384491, 5678999.214, 5678999.2384491, 5678999.31172939, 5678999.43364, 5678999.6038468, 5678999.82188326, 5679000.08715175, 5679000.39892519, 5679000.75634904, 5679001.15844361, 5679001.6041068, 5679002.09211707, 5679002.62113682, 5679003.18971605, 5679003.79629631, 5679004.43921502, 5679005.11670998, 5679005.82692422, 5679006.5679111, 5679007.33763961, 5679008.134, 5679008.95480948, 5679009.79781829, 5679010.66071578, 5679011.35157088, 5679021.46538681, 5679020.76314456, 5679019.84479086, 5679018.91878778, 5679017.98767346, 5679017.054, 5679016.12032654"
"80";50145;2012;2;1;"2517016.1865509, 2517016.11327061, 2517015.99136, 2517015.8211532, 2517015.60311674, 2517015.33784825, 2517015.02607481, 2517014.66865096, 2517014.26655639, 2517013.8208932, 2517013.33288293, 2517012.80386318, 2517012.23528395, 2517011.62870369, 2517010.98578498, 2517010.30829002, 2517009.59807578, 2517008.8570889, 2517008.08736038, 2517007.291, 2517006.47019052, 2517005.62718171, 2517004.76428422, 2517003.88386318, 2517002.98833176, 2517002.08014456, 2517001.16179086, 2517000.23578778, 2516999.30467346, 2516998.371, 2516997.43732654, 2516996.50621221, 2516995.58020914, 2516994.66185544, 2516993.75366824, 2516992.85813682, 2516991.97771578, 2516991.11481829, 2516990.27180948, 2516989.451, 2516988.65463962, 2516987.8849111, 2516987.14392422, 2516986.43370998, 2516985.75621502, 2516985.11329631, 2516984.50671605, 2516983.93813682, 2516983.40911707, 2516982.9211068, 2516982.47544361, 2516982.07334904, 2516981.71592519, 2516981.47128057, 2517015.65255975, 2517015.8211532, 2517015.99136, 2517016.11327061, 2517016.1865509, 2517016.211, 2517016.1865509, 5679016.12032654, 5679015.18921222, 5679014.26320914, 5679013.34485544, 5679012.43666823, 5679011.54113682, 5679010.66071578, 5679009.79781829, 5679008.95480948, 5679008.134, 5679007.33763961, 5679006.5679111, 5679005.82692422, 5679005.11670998, 5679004.43921502, 5679003.79629631, 5679003.18971605, 5679002.62113682, 5679002.09211707, 5679001.6041068, 5679001.15844361, 5679000.75634904, 5679000.39892519, 5679000.08715175, 5678999.82188326, 5678999.6038468, 5678999.43364, 5678999.31172939, 5678999.2384491, 5678999.214, 5678999.2384491, 5678999.31172939, 5678999.43364, 5678999.6038468, 5678999.82188326, 5679000.08715175, 5679000.39892519, 5679000.75634904, 5679001.15844361, 5679001.6041068, 5679002.09211707, 5679002.62113682, 5679003.18971605, 5679003.79629631, 5679004.43921502, 5679005.11670998, 5679005.82692422, 5679006.5679111, 5679007.33763961, 5679008.134, 5679008.95480948, 5679009.79781829, 5679010.66071578, 5679011.35157088, 5679021.46538681, 5679020.76314456, 5679019.84479086, 5679018.91878778, 5679017.98767346, 5679017.054, 5679016.12032654"
